ObjectID,Pair,i,j,Distance_Meters_dij,dij,popi,popj,pij20,pij60,pij140,Mij_10%_20mi,Mij_10%_60mi,Mij_10%_140mi,Mij_30%_20mi,Mij_30%_60mi,Mij_30%_140mi,Mij_50%_20mi,Mij_50%_60mi,Mij_50%_140mi,Real_mij,Mij_R
9565,57 - 132,57,132,69442.89,43.15,5385,11645,0,0.002889042,0.002533671,0,2,1,0,5,4,0,8,7,0,0
9566,57 - 151,57,151,70032.35,43.52,5385,60940,0,0.014991527,0.013147473,0,8,7,0,24,21,0,40,35,0,0
9567,57 - 162,57,162,70363.79,43.72,5385,9790,0,0.002397042,0.00210219,0,1,1,0,4,3,0,6,6,0,0
9568,57 - 128,57,128,71042.91,44.14,5385,6685,0,0.001621149,0.001421737,0,1,1,0,3,2,0,4,4,0,0
9569,57 - 166,57,166,72913.38,45.31,5385,108093,0,0.025540681,0.022399013,0,14,12,0,41,36,0,69,60,0,0
9570,57 - 117,57,117,73618.35,45.74,5385,3624,0,0.000848094,0.000743773,0,0,0,0,1,1,0,2,2,0,0
9571,57 - 136,57,136,74131.67,46.06,5385,7560,0,0.001756953,0.001540837,0,1,1,0,3,2,0,5,4,0,0
9572,57 - 146,57,146,74387.62,46.22,5385,28005,0,0.006486001,0.005688182,0,3,3,0,10,9,0,17,15,0,0
9573,57 - 124,57,124,74864.81,46.52,5385,5430,0,0.001249581,0.001095874,0,1,1,0,2,2,0,3,3,0,0
9574,57 - 145,57,145,75081.03,46.65,5385,5479,0,0.001257226,0.001102579,0,1,1,0,2,2,0,3,3,1,2
9575,57 - 87,57,87,75162.25,46.70,5385,2120,0,0.000485935,0.000426162,0,0,0,0,1,1,0,1,1,0,0
9576,57 - 149,57,149,76065.50,47.26,5385,28699,0,0.006500117,0.005700561,0,4,3,0,11,9,0,18,15,0,0
9577,57 - 157,57,157,76750.56,47.69,5385,130418,0,0.029275083,0.025674059,0,16,14,0,47,41,0,79,69,0,0
9578,57 - 156,57,156,77167.62,47.95,5385,31288,0,0.006985296,0.00612606,0,4,3,0,11,10,0,19,16,0,0
9579,57 - 144,57,144,78963.97,49.07,5385,6182,0,0.001348783,0.001182874,0,1,1,0,2,2,0,4,3,2,4
9580,57 - 169,57,169,80676.28,50.13,5385,8805,0,0.001880293,0.001649005,0,1,1,0,3,3,0,5,4,1,2
9581,57 - 154,57,154,81186.97,50.45,5385,7731,0,0.001640558,0.001438758,0,1,1,0,3,2,0,4,4,0,0
9582,57 - 140,57,140,81409.17,50.59,5385,21641,0,0.004579796,0.004016452,0,2,2,0,7,6,0,12,11,0,0
9583,57 - 141,57,141,82323.84,51.15,5385,10655,0,0.002229821,0.001955539,0,1,1,0,4,3,0,6,5,0,0
9584,57 - 137,57,137,82492.42,51.26,5385,34228,0,0.007148412,0.006269112,0,4,3,0,12,10,0,19,17,0,0
9585,57 - 167,57,167,82615.93,51.34,5385,54879,0,0.011444177,0.010036469,0,6,5,0,18,16,0,31,27,0,0
9586,57 - 160,57,160,85547.50,53.16,5385,13949,0,0.002809169,0.002463623,0,2,1,0,5,4,0,8,7,1,2
9587,57 - 163,57,163,86754.85,53.91,5385,16509,0,0.003278454,0.002875183,0,2,2,0,5,5,0,9,8,0,0
9588,57 - 143,57,143,86991.20,54.05,5385,18721,0,0.003707626,0.003251564,0,2,2,0,6,5,0,10,9,1,2
9589,57 - 126,57,126,86998.16,54.06,5385,8127,0,0.001609394,0.001411428,0,1,1,0,3,2,0,4,4,0,0
9590,57 - 121,57,121,87318.10,54.26,5385,1405,0,0.000277213,0.000243114,0,0,0,0,0,0,0,1,1,0,0
9591,57 - 127,57,127,87429.52,54.33,5385,2262,0,0.000445735,0.000390907,0,0,0,0,1,1,0,1,1,0,0
9592,57 - 148,57,148,87721.39,54.51,5385,12515,0,0.002457919,0.002155579,0,1,1,0,4,3,0,7,6,0,0
9593,57 - 161,57,161,88638.27,55.08,5385,13226,0,0.002570688,0.002254477,0,1,1,0,4,4,0,7,6,0,0
9594,57 - 118,57,118,88829.41,55.20,5385,3422,0,0.00066369,0.000582052,0,0,0,0,1,1,0,2,2,0,0
9595,57 - 142,57,142,90717.55,56.37,5385,9537,0,0.001811184,0.001588397,0,1,1,0,3,3,0,5,4,1,2
